name,image_url,description,cuisine,course,diet,prep_time,ingredients,instructions
Sindhi Tahiri Recipe - Sindhi Style Sweet Rice,https://www.archanaskitchen.com/images/Sindhi_Tahiri_Recipe_Sweet_Rice_With_Nuts_-2.jpg,"A traditional recipe, Sindhi Tahiri is influenced by the Awadhi cuisine. This sweet rice preparation is cooked with simple aromatic masalas and topped with dry fruits which gives it a unique flavour. This rice is usually made on special occasions and festivals. ",Sindhi,Main Course,Vegetarian,Total in 55 M,"

							 		1 cup Rice 

							 		1 teaspoon Fennel seeds (Saunf) 

							 		4 Whole Black Peppercorns 

							 		1 Cardamom (Elaichi) Pods/Seeds 

							 		3/4 cup Sugar							 		, adjustable							 	

							 		2 tablespoon Ghee 

Dry Fruits							 		, to garnish							 	

Saffron strands							 		, a few strands soaked in 1 tablespoon milk							 	
","To begin making the Sindhi Tahiri recipe, wash and soak rice for 30 minutes in required water.In a pressure cooker, heat ghee on medium flame, add the fennel seeds, cardamom and black peppercorns.After 30 seconds, add the soaked and drained rice, 1-1/2 cups of water, soaked saffron with milk and close the pressure cooker.Pressure cook for 2 whistles and turn off the heat. Allow the pressure to release naturally.Open the pressure cooker, add the sugar and mix well.Turn on the gas on low flame, cover and cook till the rice has absorbed all the sugar and moisture. Your Tahiri is ready to be served.Sindhi Tahiri can be served as a main course recipe along with authentic Sindhi Sai Bhaji and Papad Raita for a simple weekday lunch. "
चकुंदर सांबर रेसिपी - Beetroot Sambar (Recipe In Hindi),https://www.archanaskitchen.com/images/archanaskitchen/Indian_Dal_Khadi_Curry/Beetroot_Sambar_Recipe-4-2.jpg,चकुंदर सांबर दक्षिण भारतीय रेसिपी है जिसमे दाल और चकुंदर का प्रयोग किया जाता है. इस दाल को सांबर पाउडर से फ्लेवर किया जाता है. यह सांबर से पोषण से भरपूर है और बनाने में भी बहुत आसान है. ,South Indian Recipes,Lunch,High Protein Vegetarian,Total in 55 M,"

							 		1 चकुंदर							 		, छीलकर काट ले							 	

							 		1 कप अरहर दाल 

							 		1-1/2 कप इमली का पानी 

							 		1 बड़ा चमच्च सांबर पाउडर 
तड़के के लिए

							 		1 छोटा चमच्च राइ 

हींग							 		, चुटकी भर							 	

							 		5 कढ़ी पत्ता							 		, काट ले							 	

							 		1 सुखी लाल मिर्च 

							 		1 छोटा चमच्च तिल का तेल 

							 		4 टहनी हरा धनिया							 		, काट ले (गार्निश के लिए)							 	

नमक							 		, स्वाद अनुसार							 	
","चकुंदर सांबर बनाने के लिए सबसे पहले, तुअर दाल को 2 कप पानी के साथ कुकर में डाले और 3 सिटी आने तक पका ले. अगर आपको दाल गाढ़ी लगे, इसमें थोड़ा और पानी डाले और अच्छी तरह से मिला ले.  अब एक प्रेशर कुकर में चकुंदर के साथ इमली का पानी, नमक और सांबर पाउडर डाले। कुकर बंद करें और 3 सिटी आने तक पका ले. गैस बंद करें और प्रेशर अपने आप निकलने दे. अब एक सॉसपैन में चकुंदर का मिश्रण, तुअर दाल, नमक डाले और मिला ले. उबलने के लिए रख ले. अब तड़के के लिए तेल गरम करें। इसमें राइ और सुखी लाल मिर्च डाले। 10 सेकण्ड्स बाद इसमें कढ़ी पत्ता, हींग डाले और गैस बंद कर ले. इस तड़के को सांबर में डाले और मिला ले. हरे धनिये से गार्निश करें और परोसे। चकुंदर सांबर को आलू रोस्ट और चावल के साथ दिन के खाने के लिए परोसे।"
काबुली चना रसम रेसिपी - Kabuli Chana Rasam (Recipe in Hindi),https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Sowpernica/Channa_Rasam_1600.jpg,"काबुली चना रसम एक स्वादिष्ट दक्षिण भारतीय रेसिपी है जिसमे चना का पानी का प्रयोग किया जाता है. दाल के पानी का प्रयोग करने के बजाए, चने के पानी का प्रयोग किया जाता है.",South Indian Recipes,Lunch,High Protein Vegetarian,Total in 30 M,"

							 		2 टमाटर 

							 		1 बड़ा चमच्च काबुली चना या छोला							 		, उबाल ले							 	

							 		1 कप चना का पानी							 		, चने को उबलने के लिए जिसे प्रयोग किया							 	

							 		1-1/2 छोटा चमच्च निम्बू का रस 

							 		1/4 छोटा चमच्च हल्दी पाउडर 

नमक							 		, स्वाद अनुसार							 	

							 		1/4 छोटा चमच्च हींग 

							 		2 छोटा चमच्च हरा धनिया							 		, बारीक काट ले							 	
तड़के के लिए

							 		1 छोटा चमच्च घी 

							 		1 छोटा चमच्च राइ 

							 		1 कली लहसुन							 		, बारीक काट ले							 	

							 		5 कढ़ी पत्ता 
पाउडर बनाने के लिए

							 		5 कढ़ी पत्ता 

							 		1-1/2 जीरा 

							 		1/2 छोटा चमच्च काली मिर्च पाउडर 

							 		2 सुखी लाल मिर्च 
","काबुली चना रसम बनाने के लिए सबसे पहले टमाटर को मिक्सर ग्राइंडर में डाले और पेस्ट बना ले. इसमें 2 कप पानी डाले और मिला ले.इस मिश्रण को सॉसपैन में डाले। इसमें हल्दी पाउडर, हींग, नमक डाले और 5 से 6 मिनट तक पका ले.  एक मिक्सर ग्राइंडर में कढ़ी पत्ता, जीरा, काली मिर्च पाउडर, सुखी लाल मिर्च डाले और पीस ले. पाउडर बना ले और अलग से रख ले. चना को हल्का सा मैश कर ले. 5 से 6 मिनट के बाद इसमें पिसा हुआ मसाला, चना और 1 कप चना का पानी डाले। उबाला आने तक पकाए।अब तड़के के लिए एक छोटी कढ़ाई कढ़ाई में घी गरम करें। इसमें राइ डाले और 10 सेकण्ड्स तक पकने दे. 10 सेकण्ड्स के बाद इसमें लहसुन और कढ़ी पत्ता डाले। 20 सेकण्ड्स तक पकने के बाद इस तड़के को रसम में डाले और मिला ले. गरमा गरम परोसे। काबुली चना रसम को चाउ चाउ थोरन और चावल के साथ दिन के खाने के लिए परोसे।"
किरई सांबर रेसिपी - Keerai Sambar (Recipe In Hindi),https://www.archanaskitchen.com/images/archanaskitchen/Indian_Dal_Khadi_Curry/Keerai_Sambar_kuzhambu_Spinach_Dal_Curry_South_Indian-1-2.jpg,"किरई सांबर एक दक्षिण भारतीय दाल है जिसमे पालक, अमरंथ और अन्य हरी पत्तियों का प्रयोग किया जाता है. इस सांबर में इमली और सांबर पाउडर का प्रयोग किया जाता है जो इसके स्वाद को और भी बढ़ाता है. ",South Indian Recipes,Dinner,Diabetic Friendly,Total in 50 M,"

							 		250 ग्राम पालक							 		, काट कर भाप ले							 	

							 		1/2 कप अरहर दाल 

							 		1 कप इमली का पानी 

							 		1 बड़ा चमच्च सांबर पाउडर 
तड़के के लिए

							 		1 छोटा चमच्च राइ 

							 		6 कढ़ी पत्ता							 		, काट ले							 	

							 		1 सुखी लाल मिर्च 

							 		1 छोटा चमच्च तिल का तेल 

हींग							 		, चुटकी भर							 	

नमक							 		, स्वाद अनुसार							 	
","किरई सांबर बनाने के लिए सबसे पहले तुअर दाल को 2 कप पानी में कुकर में डाले। 2 सिटी आने तक पकाए और फिर 3 से 4 मिनट धीमी आंच पर पकने दे. गैस बंद करें और प्रेशर निकलने दे. अगर दाल गाढ़ी हो जाए तो थोड़ा पानी डाले और मिला ले.पालक को काट कर थोड़े पानी के साथ कुकर में डाले और 1 सिटी आने तक पका ले. एक सॉसपैन में दाल, पालक, इमली का पानी, नमक और सांबर पाउडर डाले। 5 मिनट के लिए पकाए और उबाला आने दे. नमक डाले और मिला ले.अब तड़के के लिए ेल तड़का पैन में तेल गरम करें। इसमें राइ और सुखी लाल मिर्च डाले। 10 सेकण्ड्स के लिए पकाए और फिर इसमें कढ़ी पत्ता और हींग डाले।  गैस बंद करें।इस तड़के को सांबर के उबलने के बाद उसमे डाले और मिला ले. किरई सांबर को जीरा रसम, चाउ चाउ थोरन और चावल के साथ दिन के खाने के लिए परोसे।"
कोलम्बी भात रेसिपी - Maharashtrian Prawn Rice Recipe ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Monika_Manchanda/Kolambi_Bhaath.jpg,कोलम्बी भात महाराष्ट्रियन स्टाइल पुलाव है जिसमे प्रॉन्स का प्रयोग किया जाता है. यह टमाटर राइस की तरह बनाया जाता है और इसमें प्रॉन्स का इस्तेमाल किया जाता है. आप इस डिश को रायते के साथ या अपने पुरे खाने के साथ परोस सकते है.,Maharashtrian Recipes,Lunch,Non Vegeterian,Total in 50 M,"

							 		200 ग्राम प्रॉन							 		, शेल्ड							 	

							 		2 कप चावल							 		, पके हुए							 	

							 		3 टमाटर							 		, बारीक काट ले							 	

							 		1 प्याज							 		, बारीक काट ले							 	

							 		5 कली लहसुन 

							 		1 इंच अदरक 

							 		3 हरी मिर्च 

							 		1 टहनी कढ़ी पत्ता 

							 		1 छोटा चमच्च कश्मीरी लाल मिर्च पाउडर 

नमक							 		, स्वाद अनुसार							 	

							 		1/4 छोटा चमच्च हल्दी पाउडर 

							 		2 लॉन्ग 

							 		1/2 inch दाल चीनी 

							 		2 इलाइची 

							 		2 तेज पत्ता 

शक्कर							 		, चुटकी भर							 	

							 		1 छोटा चमच्च गोडा मसाला 

							 		1/4 छोटा चमच्च हींग 

							 		1 छोटा चमच्च जीरा 

तेल							 		, प्रयोग अनुसार							 	
","कोलम्बी भात बनाने के लिए सबसे पहले एक कढ़ाई में तेल गरम कर ले. इसमें हींग डाले और 10 सेकण्ड्स के लिए पका ले.10 सेकण्ड्स के बाद इसमें जीरा, लॉन्ग, इलाइची, दाल चीनी और तेज पत्ता डाले। 30 सेकण्ड्स बाद इसमें प्याज, कढ़ी पत्ता, लहसुन, अदरक डाले और प्याज के नरम होने तक पका ले.प्याज के नरम होने के बाद इसमें टमाटर डाले और 3 से 5 मिनट तक पकने दे. अब इसमें हल्दी पाउडर, लाल मिर्च पाउडर, प्रॉन्स डाले और प्रॉन्स के अच्छी तरह पकने तक पका ले.अब इसमें चावल डाले, मिलाए और 2 से 3 मिनट के लिए पका ले. गैस बंद करें और हरे धनिये से गार्निश करें।कोलम्बी भात को बूंदी रायता या टमाटर प्याज ककड़ी रायते के साथ रात के खाने के लिए परोसे। "
मट्टा राइस मटर पुलाव रेसिपी - Matta Rice Peas Pulao,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Matta_Rice_Peas_Pulao_Recipe_.jpg,मट्टा राइस मटर पुलाव एक स्वादिष्ट पुलाव रेसिपी है जिसमे केरला में प्रसिद्ध मट्टा राइस (चावल) का प्रयोग किया जाता यही. आप इस पुलाव को किसी भी दक्षिण भारतीय ग्रेवी के साथ परोस सकते है. मट्टा राइस को रेड राइस भी कहाँ जाता है और इससे आप कहीं और पुलाव भी बना सकते है.,Indian,Lunch,Vegetarian,Total in 45 M,"

							 		2 कप केरला मट्टा राइस							 		, 30 मिनट के लिए पानी में भिगो दे							 	

							 		1 कप हरे मटर 

							 		2 इलाइची 

							 		1 इंच दाल चीनी 

							 		1 तेज पत्ता 

							 		2 छोटे चमच्च जीरा 

नमक							 		, स्वाद अनुसार							 	

							 		1 छोटा चमच्च शक्कर							 		, वैकल्पिक							 	

घी							 		, प्रयोग अनुसार							 	
","मट्टा राइस मटर पुलाव बनाने के लिए सबसे पहले मट्टा राइस को प्रेशर कुकर में 4 कप पानी में साथ डाले। 6 सिटी आने तक पका ले और प्रेशर निकलने दे. कुकर खोले, चावल निकाले और अलग से 15 मिनट के लिए ठंडा होने के लिए रख ले. अब एक कढ़ाई में घी गरम करें। इसमें इलाइची, दाल चीनी, तेज पत्ता, जीरा डाले और 20 सेकण्ड्स तक पकने दे. अब इसमें मटर डाले और 30 सेकण्ड्स के लिए पका ले. 30 सेकण्ड्स के बाद इसमें चावल, नमक और शक्कर डाले।सबको अच्छी तरह से मिलाए और 1 से 2 मिनट के लिए और पकाए। मट्टा राइस मटर पुलाव को मिक्स्ड वेजिटेबल कुर्मा और बूंदी रायता के साथ रात के खाने के लिए परोसे।"
Maakhmi Dal Recipe-Sindhi Style Moong Dal,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/_Maakhmi_Dal_Recipe_Sindhi_style_moong_dal.jpg,"Maakhmi Dal, is the classic yellow moong dal cooked in sindhi style. Starting with a tadka of ghee and whole spices along with a robust bhuna masala of onions, tomatoes and dry masalas, this masala makes all the difference.",Sindhi,Main Course,Vegetarian,Total in 45 M,"

							 		1/2 cup Yellow Moong Dal (Split)							 		, washed and soaked							 	

							 		1 tablespoon Ghee 

							 		1 inch Cinnamon Stick (Dalchini) 

							 		2 Cloves (Laung) 

							 		1 Cardamom (Elaichi) Pods/Seeds 

							 		2 Onions							 		, finely chopped							 	

							 		2 Tomatoes							 		, pureed							 	

							 		2 teaspoon Ginger							 		, chopped							 	

							 		1 Green Chilli							 		, finely chopped							 	

							 		2 teaspoon Red Chilli powder 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		2 teaspoon Coriander Powder (Dhania) 

							 		2 teaspoon Cumin powder (Jeera) 

							 		2 teaspoon Garam masala powder 

							 		2 tablespoons Mint Leaves (Pudina)							 		, chopped							 	

Salt							 		, to taste							 	

							 		1 cup Water 
","To begin making the Maakhmi Dal, wash and soak the moong dal for 30 minutes.In a pressure cooker, heat ghee on medium flame, add the cinnamon, cloves and cardamom. To this add onions and fry until they turn into a nice deep golden brown colour.Once the onions get the nice brown colour, add the turmeric powder and red chili powder. Mix well.Add the tomato puree at this stage and cook well, until the onion-tomato mix comes together.To this onion-tomato bhuna masala add coriander powder, cumin powder, garam masala, chopped pudina leaves and add salt as required.Add the soaked and drained dal, and water and close the pressure cooker.Pressure cook for 2 whistles and turn off the flame.  Allow the pressure to release naturally. Once you open the pressure cooker, mash the dal with the potato masher and mix well. Serve this Maakhmi Dal, along with Phulka Recipe (Roti/Chapati) - Puffed Indian Bread and Tuk Patata - Aloo Took Recipe (Sindhi Styled Double Baked Crispy Potatoes)"
आलू सागु रेसिपी - Potato Saagu Recipe For Rava Idli,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Preethi_Kitchen_appliances_video_recipe_Karnataka_Style_Aloo_Sagu_recipe-2.jpg,आलू भाजी को हर क्षेत्र में अलग अलग तरीके से पकाया जाता है. उन्ही में से एक है आलू सागु जिसे दक्षिण भारत में रवा इडली के साथ परोसा जाता है. यह इडली और सागु दक्षिण भारत में बहुत से रेस्टोरेंट्स में परोसा जाता है. इसे अपने नाश्ते के लिए बनाए और अपने परिवार के साथ इसका आनंद ले. ,South Indian Recipes,South Indian Breakfast,Vegetarian,Total in 55 M,"

							 		3 आलू							 		, उबालकर मैश कर ले							 	

							 		1 प्याज							 		, बारीक काट ले							 	

							 		2 हरी मिर्च							 		, काट ले							 	

							 		1/2 इंच अदरक							 		, कस ले							 	

							 		15 कढ़ी पत्ता 

							 		1/2 छोटा चमच्च राइ 

							 		2 छोटा चमच्च सफ़ेद उरद दाल 

							 		1 बड़ा चमच्च चना दाल 

							 		1/4 छोटा चमच्च हींग							 		, चुटकी भर							 	

							 		1/2 छोटा चमच्च हल्दी पाउडर							 		, चुटकी भर							 	

							 		1 बड़ा चमच्च धनिया पाउडर 

							 		2 बड़े चमच्च हरा धनिया							 		, काट ले							 	

							 		1 छोटा चमच्च शक्कर 

							 		1/2-1 बड़े चमच्च निम्बू का रस 

नमक							 		, स्वाद अनुसार							 	

तेल							 		, प्रयोग अनुसार							 	
","आलू सागु बनाने के लिए सबसे पहले साड़ी सामग्री तैयार कर ले. इस कढ़ाई में तेल गरम कर ले. इसमें राइ डाले और 10 सेकण्ड्स के लिए पका ले. 10 सेकण्ड्स के बाद इसमें चना दाल, उरद दाल डाले और 15 सेकण्ड्स के लिए पका ले.अब इसमें कढ़ी पत्ता, हींग, हरी मिर्च, अदरक डाले और 1 मिनट के लिए पका ले. 1 मिनट के बाद प्याज, हल्दी पाउडर, नमक डाले और प्याज के नरम होने के लिए पका ले. अब इसमें मैश किए हुए आलू, हींग, हल्दी पाउडर, धनिया पाउडर, लाल मिर्च पाउडर, नमक, शक्कर डाले और अच्छी तरह से मिला ले. 1 कप पानी डाले और 5 से 6 मिनट तक पका ले. पकने के बाद, हरे धनिये से गार्निश करें और परोसे। आलू सागु को रवा इडली और फ़िल्टर कॉफ़ी के साथ सुबह के नाश्ते के लिए परोसे।"
केरला स्टाइल अरबी की सब्ज़ी रेसिपी - Kerala Style Arbi Curry,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuli_Ajay/Kerala_style_Taro_root_curry.jpg,केरला स्टाइल अरबी की सब्ज़ी में अरबी को ताज़े नारियल के साथ पकाया जाता है और चावल के साथ परोसा जाता है. मालाबार इमली का भी प्रयोग किया जाता है जो इस करी के स्वाद को और भी बढ़ता है. आप इसमें इमली की जगह कोकुम का भी प्रयोग कर सकते है. ,Kerala Recipes,Lunch,Vegetarian,Total in 40 M,"

							 		250 ग्राम अरबी							 		, अभी को धो कर छील ले							 	

							 		1 इमली							 		, मालाबार							 	

नमक							 		, स्वाद अनुसार							 	

							 		1/4 कप नारियल							 		, स्क्रैप कर ले							 	

							 		1 छोटा चमच्च लाल मिर्च पाउडर 

							 		2 प्याज							 		, छिल ले							 	
तड़के के लिए

							 		1 बड़ा चमच्च नारियल का तेल  

							 		2 प्याज							 		, छिलकर काट ले							 	

							 		1 छोटा चमच्च राइ 

							 		1 छोटा चमच्च जीरा 

							 		2 सुखी लाल मिर्च							 		, तोड़ ले							 	

							 		7 कढ़ी पत्ता 
","केरला स्टाइल अरबी की सब्ज़ी बनाने के लिए सबसे पहले अरबी को अच्छी तरह से धोकर उबाल ले. अपने हाथो पर थोड़ा नारियल का तेल लगाए और अरबी को छिलका निकाल ले. अरबी को काट ले और अलग से रख ले. एक कढ़ाई में इमली, नमक, अरबी और थोड़ा पानी डाले। अरबी और इमली के अच्छी तरह से पकने तक पका ले. अब एक मिक्सर ग्राइंडर में नारियल, लाल मिर्च पाउडर और छोटे प्याज डाले। पीस ले और इस मिश्रण को कढ़ाई में डाल दे. नमक डाले, मिलाए और 5 से 6 मिनट तक पकने दे.अब एक तड़का पैन में तेल गरम करें। इसमें राइ और जीरा डाले और 10 सेकण्ड्स तक पकने दे. इसमें प्याज, कढ़ी पत्ता डाले और प्याज के नरम होने तक पका ले. इसमें सुखी लाल मिर्च डाले और 10 सेकण्ड्स तक पकने दे. इस तड़के को करी में डाले और मिला ले. केरला स्टाइल अरबी की सब्ज़ी को चावल और जीरा रसम के साथ दिन के खाने के लिए परोसे।"
Gond Ke Ladoo Recipe - Edible Gum Ladoo,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/pooja/Goond_Ke_LadduEdible_Gum_Laddu.jpg,Gond Ke Ladoo is an old and traditional recipe which reminds of our childhood. It is mostly prepared during the winter to prevent us from catching colds. It is a very simple recipe and can be prepared with few ingredients.,North Indian Recipes,Dessert,Vegetarian,Total in 75 M,"

							 		150 grams Goond (Edible Gum) 

							 		350 grams Ghee 

							 		400 grams Whole Wheat Flour 

							 		400 grams Sugar							 		, powdered							 	

							 		50 grams Dry coconut (kopra) 

							 		50 grams Whole Almonds (Badam)							 		, chopped							 	

							 		50 grams Cashew nuts							 		, chopped							 	
","To begin making Gond Ke Ladoo, in a large and heavy bottomed pan, add 350 ml ghee and melt it on a low flame. Once the ghee is hot and melted, add gond/edible gum in the pan little at a time and fry on low flame until the goond puffs up like popcorn and crisps up. Make sure that goond is completely cooked from inside and outside. Repeat process with rest of the goond.Once goond is fried, using a ladle spoon out the goond from the ghee and keep aside to cool down. Into the same pan containing the melted ghee, add whole wheat flour and roast until it becomes aromatic and brown. The mixture should be crumbly. Turn off the flame. Transfer the flour on to a plate. Add the powdered sugar and all dry fruits and mix well. Let the mixture cool down. Meanwhile, once the goond has cooled, with a rolling pin, crush them into a coarse powder. Add this crushed goond in to wheat and dry fruit flour mixture. Now take little amount of mixture in your hands and give them round shape. Small or big that is totally up to you.Keep them aside for few hours, it will help the ladoos to set properly. You can keep them in airtight container for a month.Serve Gond Ke Ladoo as a healthy snack during winter to ward off flus and colds or to new mothers after delivery to provide them with instant energy and aid in lactation."
Andhra Style Chicken Fry Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/garimasgautam-gmail.com/Andhra_Chicken_Fry.jpg,"Filled with the goodness of spicy chillies and the local flavour, this Andhra Chicken Fry is a must try recipe. It is best to serve during your weekday meals to take a break from the regular food. It is easy to make and requires less time to cook. Try this and we are sure you will make it again and again.  ",Andhra,Appetizer,High Protein Non Vegetarian,Total in 50 M,"
For marination

							 		1 Chicken breasts							 		, cubed							 	

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Red Chilli powder 

							 		1/2 tablespoon Ginger Garlic Paste 

							 		1/2 cup Hung Curd (Greek Yogurt) 

Salt							 		, to taste 							 	
For frying

							 		1 Onion							 		, chopped							 	

							 		3 Green Chillies							 		, chopped							 	

							 		1 teaspoon Fennel seeds (Saunf) 

							 		2 Tomatoes							 		, cubed							 	

							 		1/2 tablespoon Ginger Garlic Paste 

							 		2 sprig Curry leaves 

							 		1 tablespoon Black pepper powder 

							 		1 tablespoon Garam masala powder 

							 		1/2 tablespoon Coriander Powder (Dhania)							 		, coarsely grounded							 	

							 		1/2 tablespoon Kashmiri Red Chilli Powder 

Oil							 		, or ghee as required							 	
","To begin making the Andhra Chicken Fry recipe, put chicken cubes and all the ingredients listed under marination including turmeric powder, red chilli powder, ginger garlic paste, hung yogurt, salt in a bowl and mix it well.Make sure that chicken pieces are coated properly. Cover the bowl and let it sit in the fridge for an hour.Once the chicken is marinated, take it out from fridge and keep it aside.Heat oil in a kadhai/wok and add fennel seeds, curry leaves and chopped green chillies into the wok. Saute it for couple of seconds but make sure it doesn't burn.Now, add ginger garlic paste and saute for couple of seconds until the raw smell of ginger garlic goes away.Next step is to add onion and cook it till the time it becomes soft and translucent.Once the onions are soft, add the cubed tomatoes and cook till they become mushy.Once the tomatoes are soft and mushy, add the marinated chicken pieces and marination batter into the wok. Add garam masala powder and cook it for 10 minutes on medium heat.After 10 minutes, add coriander powder, red chilli powder into the wok and give it a good mix and cook the chicken again for 5 minutes on high heat.Y ou have to make sure that chicken gets dry and there is no gravy left.In the end sprinkle black pepper powder and adjust salt as per your taste. Cook for few more minutes till the chicken is cooked properly. Serve it hot and garnish with some onion rings.Serve Andhra Chicken Fry as a starter in your house parties or as a side dish along with Andhra Style Yellow Cucumber Dal and Phulkas for a weekday meal."
Chicken Masala Fry Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/amina/Chicken_masala_fry_recipe.jpg,Chicken Masala Fry recipe is one of our favourite chicken side dishes that is very easy to make and gets ready in no time. You just need yogurt and everyday masalas to make this mouth watering chicken starter.,Indian,Appetizer,Non Vegeterian,Total in 25 M,"

							 		500 grams Boneless chicken							 		, chopped to chunks							 	

							 		1/2 tablespoon Salt 

							 		2 tablespoon Red Chilli powder 

							 		3 tablespoon Garlic							 		, ground to paste							 	

							 		2 tablespoon Curd (Dahi / Yogurt) 

							 		1/2 cup Coriander (Dhania) Leaves 

							 		1/2 cup Oil 
","To begin making Chicken Masala Fry Recipe, in a pressure cooker, add the boneless chicken pieces along with salt, red chilli powder, curd and garlic paste.  Add 1 to 2 cups water, mix well and pressure cook till tender, for 10 minutes or 2 whistles.Switch off the heat, allow the steam to release naturally and once the steam is released, take out the chicken and keep aside.Heat about half a cup of oil in a deep frying pan, and add the cooked chicken mixture to this, once the oil is hot.Keep stirring for about 5 to 10 minutes till all the water has evaporated and the chicken has absorbed the flavour of masalas added. Take them out, garnish with coriander leaves and serve hot.Serve Chicken Masala Fry Recipe along with Steamed Rice and Lahsuni Palak Dal Recipe (Spinach & Lentil Curry with Garlic) for a weekday lunch."
Peanut Butter Chicken Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/onewholesomeal-gmail.com/Peanutbutter_chicken.jpg,"When the heart wants Indian but the tastebuds want a bit more what do you do? You make peanut butter chicken, douse it with Chinese chilli oil, serve it on a bed of lemon rice and you are set.",Asian,Dinner,High Protein Non Vegetarian,Total in 25 M,"

							 		300 grams Chicken breasts							 		, boneless							 	

							 		1 Onion 

							 		1 Tomato 

							 		3/4 cup Chicken stock 

							 		3/4 cup Peanut Butter							 		, smooth							 	

							 		1 tablespoon Chilli oil							 		, (can be substituted with 1/8 teaspoon smoked paprika)							 	

							 		1/2 teaspoon Salt 

							 		1/2 teaspoon Black pepper powder 

							 		2 tablespoon Oil 
","To begin making the Peanut Butter Chicken recipe, heat oil in a large skillet, add onion and stir until translucent.Once the onions are soft and translucent, add the chicken pieces; cook until chicken starts to turn white.Add chilli oil, followed by salt and pepper. Keep the heat on medium through the whole process and continue stirring.The entire process should take 5-7 minutes. Add tomatoes, chicken stock and let it simmer on low heat until the chicken is tender.When the chicken is tender, stir in peanut butter, stirring continuously until mixed thoroughly and the sauce starts to thicken.If the sauce is too thick, you could add some more chicken broth or hot water or if its not thickening, add some more peanut butter. Give it a stir and when the chicken is done, serve hot.Serve Peanut Butter Chicken with Lemon Rice on its own or as a side dish along with Srilankan Chicken Curry and Tawa Paratha for a weekend meal."
